5,Bayana Jn,1,09:10 AM,12:40 PM,3 Hrs 30 Mins,09:12 AM,12:42 PM,3 Hrs 30 Mins, 208 Kms,09810
6,Hindaun City,1,09:35 AM,01:19 PM,3 Hrs 44 Mins,09:37 AM,01:21 PM,3 Hrs 44 Mins, 241 Kms,09810
7,Shri Mahabirji,1,09:46 AM,01:35 PM,3 Hrs 49 Mins,09:48 AM,01:37 PM,3 Hrs 49 Mins, 251 Kms,09810
8,Gangapur City,1,10:18 AM,02:07 PM,3 Hrs 49 Mins,10:20 AM,02:09 PM,3 Hrs 49 Mins, 285 Kms,09810
9,Sawai Madhopur,1,11:18 AM,02:58 PM,3 Hrs 40 Mins,11:20 AM,02:59 PM,3 Hrs 39 Mins, 349 Kms,09810
10,Indargarh,1,11:45 AM,03:21 PM,3 Hrs 36 Mins,11:47 AM,03:23 PM,3 Hrs 36 Mins, 386 Kms,09810
1,C SHIVAJI MAH T,1,Source,Source,No Delay,07:10 AM,07:10 AM,No Delay, 0 Kms,10103
2,Dadar,1,07:22 AM,07:25 AM,3 Mins,07:25 AM,07:27 AM,2 Mins, 8 Kms,5,10103
3,Thane,1,07:46 AM,07:50 AM,4 Mins,07:50 AM,07:52 AM,2 Mins, 33 Kms,5,10103
4,Panvel,1,08:25 AM,09:05 AM,40 Mins,08:30 AM,09:15 AM,45 Mins, 68 Kms,10103
5,Mangaon,1,10:34 AM,11:21 AM,47 Mins,10:35 AM,11:22 AM,47 Mins, 182 Kms,10103
6,Khed,1,11:26 AM,12:29 PM,1 Hr 3 Mins,11:27 AM,12:30 PM,1 Hr 3 Mins, 277 Kms,10103
7,Chiplun,1,11:58 AM,12:59 PM,1 Hr 1 Min,11:59 AM,01:02 PM,1 Hr 3 Mins, 319 Kms,10103
8,Sangmeshwar,1,12:35 PM,01:44 PM,1 Hr 9 Mins,12:36 PM,01:45 PM,1 Hr 9 Mins, 378 Kms,10103
9,Ratnagiri,1,01:15 PM,02:20 PM,1 Hr 5 Mins,01:20 PM,02:26 PM,1 Hr 6 Mins, 425 Kms,10103
10,Adavali,1,01:54 PM,03:06 PM,1 Hr 12 Mins,01:55 PM,03:09 PM,1 Hr 14 Mins, 469 Kms,10103
11,Rajapur Road,1,02:30 PM,03:55 PM,1 Hr 25 Mins,02:31 PM,03:56 PM,1 Hr 25 Mins, 514 Kms,10103
12,Vaibhavwadi Rd,1,02:46 PM,04:11 PM,1 Hr 25 Mins,02:47 PM,04:13 PM,1 Hr 26 Mins, 537 Kms,10103
13,Kankavali,1,03:19 PM,04:40 PM,1 Hr 21 Mins,03:20 PM,04:46 PM,1 Hr 26 Mins, 581 Kms,10103
14,Sindhudurg,1,03:40 PM,05:04 PM,1 Hr 24 Mins,03:41 PM,05:14 PM,1 Hr 33 Mins, 605 Kms,10103
