6,Kumardubi,1,10:38 AM,10:38 AM,No Delay,10:39 AM,10:39 AM,No Delay, 19 Kms,03301
7,Mugma,1,10:43 AM,10:42 AM,1M Before,10:44 AM,10:44 AM,No Delay, 24 Kms,03301
8,Thapar Nagar,1,10:49 AM,10:49 AM,No Delay,10:50 AM,10:50 AM,No Delay, 29 Kms,03301
9,Kalubathan,1,10:54 AM,10:56 AM,2 Mins,10:55 AM,10:57 AM,2 Mins, 33 Kms,03301
10,Chhota Ambana,1,11:02 AM,11:05 AM,3 Mins,11:03 AM,11:06 AM,3 Mins, 43 Kms,03301
11,Pradhankhunta,1,11:20 AM,11:17 AM,3M Before,11:21 AM,11:23 AM,2 Mins, 49 Kms,03301
12,Dokra Halt,1,11:26 AM,11:28 AM,2 Mins,11:27 AM,11:29 AM,2 Mins, 53 Kms,03301
1,Dhanbad Jn,1,Source,Source,No Delay,11:45 AM,11:50 AM,5 Mins, 0 Kms,03302
2,Dokra Halt,1,11:50 AM,11:57 AM,7 Mins,11:51 AM,11:58 AM,7 Mins, 5 Kms,03302
3,Pradhankhunta,1,11:59 AM,12:10 PM,11 Mins,12:00 PM,12:14 PM,14 Mins, 9 Kms,03302
4,Chhota Ambana,1,12:04 PM,12:23 PM,19 Mins,12:05 PM,12:24 PM,19 Mins, 15 Kms,03302
5,Kalubathan,1,12:14 PM,12:33 PM,19 Mins,12:15 PM,12:34 PM,19 Mins, 24 Kms,03302
6,Thapar Nagar,1,12:19 PM,12:38 PM,19 Mins,12:20 PM,12:39 PM,19 Mins, 29 Kms,03302
7,Mugma,1,12:25 PM,12:45 PM,20 Mins,12:26 PM,01:14 PM,48 Mins, 34 Kms,03302
8,Kumardubi,1,12:31 PM,01:20 PM,49 Mins,12:32 PM,01:21 PM,49 Mins, 38 Kms,03302
9,Barakar,1,12:36 PM,01:26 PM,50 Mins,12:37 PM,01:28 PM,51 Mins, 41 Kms,03302
1,Phulwartanr,1,Source,Source,No Delay,01:15 PM,01:15 PM,No Delay, 0 Kms,03308
2,Budora,1,01:18 PM,01:18 PM,No Delay,01:19 PM,01:19 PM,No Delay, 1 Kms,03308
3,Tundu,1,01:23 PM,01:23 PM,No Delay,01:24 PM,01:24 PM,No Delay, 3 Kms,03308
1,Shmata Vd Katra,1,Source,Source,No Delay,01:30 PM,01:45 PM,15 Mins, 0 Kms,04410
2,Udhampur,1,02:05 PM,02:17 PM,12 Mins,02:15 PM,02:22 PM,7 Mins, 24 Kms,04410
3,Jammu Tawi,1,03:55 PM,04:05 PM,10 Mins,04:05 PM,04:15 PM,10 Mins, 77 Kms,04410
4,Pathankot Cantt,1,06:00 PM,06:28 PM,28 Mins,06:10 PM,06:33 PM,23 Mins, 177 Kms,04410
5,Ludhiana Jn,1,09:40 PM,09:38 PM,2M Before,09:50 PM,10:03 PM,13 Mins, 342 Kms,04410
6,Ambala Cant Jn,2,11:45 PM,12:15 AM,30 Mins,11:55 PM,12:20 AM,25 Mins, 455 Kms,04410
1,Hanumangarh Jn,1,Source,Source,No Delay,02:25 PM,02:25 PM,No Delay, 0 Kms,3,04767
2,Jorkian,1,02:35 PM,02:35 PM,No Delay,02:36 PM,02:36 PM,No Delay, 8 Kms,1,04767
3,Hirnawali,1,02:42 PM,02:42 PM,No Delay,02:43 PM,02:43 PM,No Delay, 13 Kms,1,04767
