8,Tiruvalla,2,12:53 AM,01:58 AM,1 Hr 5 Mins,12:54 AM,02:00 AM,1 Hr 6 Mins, 134 Kms,16343,2018-01-05
9,Changanaseri,2,01:04 AM,02:10 AM,1 Hr 6 Mins,01:05 AM,02:11 AM,1 Hr 6 Mins, 142 Kms,16343,2018-01-05
10,Kottayam,2,01:25 AM,02:47 AM,1 Hr 22 Mins,01:28 AM,02:50 AM,1 Hr 22 Mins, 160 Kms,16343,2018-01-05
11,Ernakulam Town,2,02:55 AM,04:05 AM,1 Hr 10 Mins,03:00 AM,04:10 AM,1 Hr 10 Mins, 223 Kms,16343,2018-01-05
12,Idaplli,2,03:11 AM,04:22 AM,1 Hr 11 Mins,03:12 AM,04:23 AM,1 Hr 11 Mins, 229 Kms,16343,2018-01-05
13,Aluva,2,03:28 AM,04:37 AM,1 Hr 9 Mins,03:30 AM,04:39 AM,1 Hr 9 Mins, 240 Kms,16343,2018-01-05
14,Thrisur,2,04:17 AM,05:30 AM,1 Hr 13 Mins,04:20 AM,05:33 AM,1 Hr 13 Mins, 294 Kms,16343,2018-01-05
15,Shoranur Jn,2,05:30 AM,06:13 AM,43 Mins,05:40 AM,06:34 AM,54 Mins, 327 Kms,16343,2018-01-05
16,Ottappalam,2,05:58 AM,06:50 AM,52 Mins,06:00 AM,06:52 AM,52 Mins, 336 Kms,16343,2018-01-05
17,Palakkad Jn,2,07:15 AM,07:17 AM,2 Mins,07:30 AM,07:55 AM,25 Mins, 367 Kms,16343,2018-01-05
18,Palghat Town,2,07:45 AM,08:08 AM,23 Mins,07:50 AM,08:13 AM,23 Mins, 371 Kms,16343,2018-01-05
19,Pollachi Jn,2,09:05 AM,09:15 AM,10 Mins,09:10 AM,09:20 AM,10 Mins, 425 Kms,16343,2018-01-05
20,Palani,2,10:28 AM,10:30 AM,2 Mins,10:30 AM,10:40 AM,10 Mins, 488 Kms,16343,2018-01-05
21,Dindigul Jn,2,11:43 AM,11:48 AM,5 Mins,11:45 AM,11:53 AM,8 Mins, 546 Kms,16343,2018-01-05
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-06
2,Varkalasivagiri,1,11:04 PM,11:19 PM,15 Mins,11:05 PM,11:20 PM,15 Mins, 41 Kms,16343,2018-01-06
